item,name,type,category,subcategory,label,title,page_length,num_links,mean_sitelinks_count,median_sitelinks_count,std_sitelinks_count
http://www.wikidata.org/entity/Q32786,916,entity,films,film,cultural exclusive,916 (film),1223,12,56.72727272727273,12.0,72.19807465210603
http://www.wikidata.org/entity/Q371,!!!,entity,music,musical group,cultural representative,!!!,2501,31,34.275862068965516,28.0,32.77919499098227
http://www.wikidata.org/entity/Q3729947,¡Soborno!,entity,comics and anime,comics,cultural representative,¡Soborno!,1558,5,28.2,21.0,24.959166652755055
http://www.wikidata.org/entity/Q158611,+44,entity,music,musical group,cultural representative,+44 (band),12432,73,46.986111111111114,25.0,70.87439849941812
http://www.wikidata.org/entity/Q280375,1 Monk Street,entity,architecture,building,cultural exclusive,"1 Monk Street, Monmouth",2632,11,49.27272727272727,7.0,66.36276462690219
http://www.wikidata.org/entity/Q104414508,100 percent corner,concept,geography,city,cultural agnostic,100 percent corner,637,2,42.5,42.5,10.5
http://www.wikidata.org/entity/Q3008535,1889 Apia cyclone,entity,history,historical event,cultural agnostic,1889 Apia cyclone,5286,24,85.33333333333333,78.0,85.92096774602052
http://www.wikidata.org/entity/Q85720601,18th Abduction,entity,books,book,cultural agnostic,18th Abduction,1300,5,38.5,23.5,42.58227330709341
http://www.wikidata.org/entity/Q105570,20 July plot,entity,history,historical event,cultural exclusive,20 July plot,46483,189,53.612021857923494,35.0,57.530198938480666
http://www.wikidata.org/entity/Q434841,20th Century Studios,entity,media,film studio,cultural representative,20th Century Studios,39677,295,37.170138888888886,29.0,35.16887153408124
http://www.wikidata.org/entity/Q4630640,20th-century French philosophy,entity,philosophy and religion,philosophical movement,cultural representative,20th-century French philosophy,12627,135,62.94656488549618,48.0,59.074841001436695
http://www.wikidata.org/entity/Q5476713,21st Century Fox,entity,media,media company,cultural representative,21st Century Fox,15877,103,36.23300970873787,24.0,40.920999874727876
http://www.wikidata.org/entity/Q219293,2600: The Hacker Quarterly,entity,media,magazine,cultural representative,2600: The Hacker Quarterly,5475,56,40.29090909090909,28.0,41.85675691180044
http://www.wikidata.org/entity/Q131401366,30th Critics' Choice Awards,entity,media,television,cultural representative,30th Critics' Choice Awards,1454,19,32.666666666666664,27.5,17.49603129601428
http://www.wikidata.org/entity/Q520959,33 Whitecross Street,entity,architecture,building,cultural exclusive,"33 Whitecross Street, Monmouth",3261,22,33.68181818181818,5.0,49.994896433750995
http://www.wikidata.org/entity/Q4635677,365 Media Group,entity,media,media company,cultural agnostic,365 Media Group,1901,16,59.0,13.5,82.85001508750616
